region;filiere;date;capacite_indisponible
AUVERGNE RHONE ALPES;hydraulique;2013-01-01 17:30:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-01 18:00:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-01 18:30:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-01 19:00:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-04 00:30:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-04 01:00:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-07 12:30:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-07 13:00:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-07 13:30:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-07 14:00:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-07 14:30:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-09 10:30:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-09 11:00:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-09 11:30:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-09 12:00:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-10 17:30:00;146.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-10 18:00:00;146.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-10 18:30:00;146.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-10 19:00:00;146.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-10 19:30:00;146.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-10 20:00:00;146.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 09:00:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 09:30:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 10:00:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 10:30:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 11:00:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 11:30:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-11 12:00:00;123.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-19 07:00:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-19 07:30:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-19 08:00:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 16:00:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 16:30:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 17:00:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 17:30:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 18:00:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 18:30:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 19:00:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 19:30:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 20:00:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 20:30:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 21:00:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 21:30:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 22:00:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 22:30:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 23:00:00;180.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-22 23:30:00;337.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 00:00:00;337.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 00:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 01:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 01:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 02:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 02:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 03:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 03:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 04:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 04:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 05:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 05:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 06:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 06:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 07:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 07:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 08:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 08:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 09:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 09:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 10:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 10:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 11:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 11:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-23 12:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-24 13:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-24 14:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-24 14:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-24 15:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-24 15:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-24 16:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-24 16:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-24 17:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-25 03:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-25 04:00:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-25 04:30:00;157.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-26 03:30:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-26 04:00:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-26 04:30:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-01-26 05:00:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-02-03 07:30:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-02-03 08:00:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-02-03 08:30:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-02-03 18:30:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-02-03 19:00:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-02-03 19:30:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-02-06 08:30:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-02-06 09:00:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-02-06 09:30:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-02-06 10:00:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-02-06 10:30:00;259.0
AUVERGNE RHONE ALPES;hydraulique;2013-02-07 17:00:00;152.0
AUVERGNE RHONE ALPES;hydraulique;2013-02-07 17:30:00;152.0
