region,date_heure,annee,jour_numero,heure,jour_fractionnel,thermique,nucleaire,eolien,solaire,hydraulique,bioenergies,pompage,ech_physiques,stockage_batterie,destockage_batterie,cap_prod_max_thermique,thermique_p_disp,cap_prod_max_nucleaire,nucleaire_p_disp,eolien_p_disp,solaire_p_disp,cap_prod_max_hydraulique,hydraulique_p_disp,cap_prod_max_bioenergies,bioenergies_p_disp,population
AUVERGNE RHONE ALPES,2014-07-07 00:30:00,2014,188,00:30:00,188.02,34.0,8369.0,15.0,0.0,3035.0,74.0,-29.0,-5911.0,0.0,0.0,938.0,938.0,13570.0,13570.0,347.0,818.0,11145.0,10993.0,140.0,140.0,7820966
PROVENCE ALPES COTE D AZUR,2020-09-27 18:00:00,2020,271,18:00:00,271.75,748.0,0.0,27.0,209.0,329.0,68.0,0.0,2285.0,0.0,0.0,2710.0,2339.0,0.0,0.0,48.0,1512.0,3262.0,3185.0,357.0,207.0,5098666
PROVENCE ALPES COTE D AZUR,2014-01-04 22:00:00,2014,4,22:00:00,4.92,258.0,0.0,35.0,0.0,1384.0,71.0,0.0,3404.0,0.0,0.0,2592.0,2318.0,0.0,0.0,45.0,783.0,3160.0,3160.0,151.0,151.0,4983438
BRETAGNE,2017-07-01 08:00:00,2017,182,08:00:00,182.33,1.0,0.0,185.0,4.0,167.0,49.0,-1.0,1232.0,0.0,0.0,848.0,763.0,0.0,0.0,916.0,238.0,275.0,275.0,66.0,66.0,3318904
CENTRE VAL DE LOIRE,2017-07-04 15:00:00,2017,185,15:00:00,185.62,0.0,5522.0,0.0,171.0,0.0,55.0,0.0,-3727.0,0.0,0.0,198.0,198.0,11630.0,10662.0,947.0,269.0,91.0,91.0,76.0,76.0,2576252
OCCITANIE,2019-03-06 13:00:00,2019,65,13:00:00,65.54,73.0,1271.0,977.0,518.0,2047.0,100.0,0.0,180.0,0.0,0.0,307.0,307.0,2620.0,1310.0,1499.0,2007.0,5485.0,5308.0,146.0,146.0,5933185
PROVENCE ALPES COTE D AZUR,2019-09-03 13:00:00,2019,246,13:00:00,246.54,619.0,0.0,13.0,891.0,588.0,108.0,0.0,2727.0,0.0,0.0,2674.0,2293.0,0.0,0.0,48.0,1389.0,3242.0,3095.0,357.0,207.0,5081101
GRAND EST,2017-03-05 23:00:00,2017,64,23:00:00,64.96,893.0,7402.0,2329.0,0.0,1212.0,92.0,-6.0,-6354.0,0.0,0.0,3453.0,2914.0,10820.0,9497.0,2879.0,535.0,2297.0,2083.0,140.0,140.0,5549586
PROVENCE ALPES COTE D AZUR,2014-01-16 21:00:00,2014,16,21:00:00,16.88,437.0,0.0,18.0,0.0,1328.0,69.0,0.0,4246.0,0.0,0.0,2592.0,2211.0,0.0,0.0,45.0,783.0,3160.0,3160.0,151.0,151.0,4983438
PROVENCE ALPES COTE D AZUR,2020-07-06 02:00:00,2020,188,02:00:00,188.08,237.0,0.0,19.0,0.0,1049.0,59.0,0.0,2157.0,0.0,0.0,2710.0,2292.0,0.0,0.0,48.0,1471.0,3261.0,3183.0,357.0,207.0,5098666
BOURGOGNE FRANCHE COMTE,2017-09-13 16:00:00,2017,256,16:00:00,256.67,26.0,0.0,492.0,55.0,94.0,24.0,0.0,1720.0,0.0,0.0,331.0,331.0,0.0,0.0,636.0,271.0,519.0,519.0,34.0,34.0,2811423
PROVENCE ALPES COTE D AZUR,2016-09-30 03:30:00,2016,274,03:30:00,274.15,728.0,0.0,1.0,0.0,231.0,111.0,0.0,2228.0,0.0,0.0,2614.0,2369.0,0.0,0.0,48.0,1047.0,3192.0,3192.0,354.0,354.0,5021928
NOUVELLE AQUITAINE,2020-07-18 12:30:00,2020,200,12:30:00,200.52,42.0,3242.0,28.0,2039.0,53.0,192.0,0.0,-932.0,0.0,0.0,571.0,571.0,6630.0,5549.0,1166.0,2694.0,1783.0,1678.0,341.0,341.0,6033952
PAYS DE LA LOIRE,2022-02-04 16:30:00,2022,35,16:30:00,35.69,440.0,0.0,450.0,50.0,5.0,59.0,0.0,2688.0,0.0,0.0,2068.0,1778.0,0.0,0.0,1133.0,812.0,10.0,10.0,80.0,80.0,3878839
PAYS DE LA LOIRE,2018-05-04 03:30:00,2018,124,03:30:00,124.15,-9.0,0.0,182.0,0.0,4.0,49.0,0.0,2352.0,0.0,0.0,1968.0,1707.0,0.0,0.0,804.0,542.0,8.0,8.0,69.0,69.0,3781423
BOURGOGNE FRANCHE COMTE,2021-11-29 07:00:00,2021,333,07:00:00,333.29,148.0,0.0,112.0,0.0,19.0,49.0,0.0,2919.0,0.0,0.0,401.0,401.0,0.0,0.0,992.0,482.0,524.0,524.0,72.0,72.0,2800194
AUVERGNE RHONE ALPES,2020-03-19 10:30:00,2020,79,10:30:00,79.44,564.0,8814.0,32.0,578.0,4089.0,117.0,-3.0,-7464.0,0.0,0.0,1034.0,1034.0,13570.0,12644.0,647.0,1253.0,11746.0,11601.0,192.0,192.0,8078652
GRAND EST,2021-06-12 15:30:00,2021,163,15:30:00,163.65,28.0,4074.0,485.0,311.0,1114.0,127.0,0.0,-2004.0,0.0,0.0,3585.0,3172.0,10820.0,9940.0,3913.0,895.0,2305.0,2103.0,207.0,207.0,5561287
BRETAGNE,2018-10-04 04:00:00,2018,277,04:00:00,277.17,1.0,0.0,57.0,0.0,0.0,44.0,-56.0,1638.0,0.0,0.0,923.0,838.0,0.0,0.0,988.0,255.0,270.0,270.0,69.0,69.0,3335414
NORMANDIE,2018-01-29 19:30:00,2018,29,19:30:00,29.81,934.0,7836.0,362.0,0.0,17.0,45.0,0.0,-4990.0,0.0,0.0,813.0,813.0,10640.0,9310.0,705.0,233.0,31.0,31.0,102.0,102.0,3327477
NORMANDIE,2015-11-10 22:00:00,2015,314,22:00:00,314.92,676.0,7646.0,90.0,0.0,8.0,59.0,0.0,-5193.0,0.0,0.0,773.0,773.0,10640.0,9310.0,538.0,216.0,24.0,24.0,95.0,95.0,3339131
OCCITANIE,2017-12-26 01:00:00,2017,360,01:00:00,360.04,83.0,2039.0,264.0,0.0,453.0,100.0,-891.0,3192.0,0.0,0.0,291.0,291.0,2620.0,2620.0,1365.0,1808.0,5481.0,5254.0,145.0,145.0,5845102
BOURGOGNE FRANCHE COMTE,2015-05-16 01:30:00,2015,136,01:30:00,136.06,25.0,0.0,68.0,0.0,81.0,25.0,0.0,1573.0,0.0,0.0,325.0,80.0,0.0,0.0,344.0,254.0,510.0,510.0,29.0,29.0,2820940
OCCITANIE,2013-06-16 11:30:00,2013,167,11:30:00,167.48,-2.0,1076.0,332.0,510.0,1436.0,69.0,-472.0,127.0,0.0,0.0,245.0,245.0,2620.0,2620.0,866.0,1059.0,5379.0,5379.0,126.0,126.0,5683878
BRETAGNE,2020-04-21 09:00:00,2020,112,09:00:00,112.38,1.0,0.0,84.0,15.0,9.0,51.0,-50.0,2229.0,0.0,0.0,978.0,877.0,0.0,0.0,1028.0,280.0,272.0,272.0,79.0,79.0,3373835
PAYS DE LA LOIRE,2018-04-25 16:30:00,2018,115,16:30:00,115.69,-39.0,0.0,287.0,271.0,4.0,44.0,0.0,2340.0,0.0,0.0,1968.0,1871.0,0.0,0.0,796.0,541.0,8.0,8.0,69.0,69.0,3781423
BRETAGNE,2019-04-17 17:00:00,2019,107,17:00:00,107.71,1.0,0.0,428.0,107.0,5.0,50.0,-1.0,1734.0,0.0,0.0,956.0,871.0,0.0,0.0,1004.0,264.0,270.0,270.0,71.0,71.0,3354854
OCCITANIE,2013-12-19 08:00:00,2013,353,08:00:00,353.33,57.0,2573.0,61.0,0.0,1908.0,77.0,0.0,922.0,0.0,0.0,251.0,251.0,2620.0,2620.0,889.0,1192.0,5395.0,5395.0,127.0,127.0,5683878
HAUTS DE FRANCE,2020-11-20 21:00:00,2020,325,21:00:00,325.88,1762.0,4341.0,1164.0,0.0,1.0,118.0,0.0,-1080.0,0.0,0.0,2984.0,2984.0,5460.0,4590.0,5303.0,272.0,5.0,5.0,181.0,181.0,5997734
NORMANDIE,2015-12-23 09:30:00,2015,357,09:30:00,357.4,445.0,7651.0,214.0,2.0,20.0,44.0,0.0,-4748.0,0.0,0.0,773.0,193.0,10640.0,9310.0,538.0,217.0,31.0,31.0,95.0,95.0,3339131
NORMANDIE,2019-02-19 18:30:00,2019,50,18:30:00,50.77,515.0,7023.0,34.0,0.0,21.0,40.0,0.0,-3830.0,0.0,0.0,833.0,253.0,10640.0,9393.0,791.0,253.0,31.0,31.0,105.0,105.0,3325032
BOURGOGNE FRANCHE COMTE,2020-05-05 14:00:00,2020,126,14:00:00,126.58,22.0,0.0,91.0,90.0,42.0,50.0,0.0,2007.0,0.0,0.0,401.0,401.0,0.0,0.0,877.0,348.0,521.0,521.0,69.0,69.0,2801695
PAYS DE LA LOIRE,2016-01-06 05:30:00,2016,6,05:30:00,6.23,600.0,0.0,222.0,0.0,4.0,37.0,0.0,2569.0,0.0,0.0,1880.0,1488.0,0.0,0.0,605.0,457.0,7.0,7.0,61.0,61.0,3737632
BRETAGNE,2014-09-29 23:30:00,2014,272,23:30:00,272.98,0.0,0.0,63.0,0.0,0.0,26.0,-23.0,2131.0,0.0,0.0,688.0,688.0,0.0,0.0,781.0,216.0,272.0,272.0,52.0,52.0,3276543
NORMANDIE,2013-11-01 15:00:00,2013,305,15:00:00,305.62,331.0,8805.0,120.0,2.0,7.0,50.0,0.0,-6249.0,0.0,0.0,761.0,761.0,10640.0,10640.0,444.0,210.0,23.0,23.0,88.0,88.0,3328364
AUVERGNE RHONE ALPES,2023-01-28 17:30:00,2023,28,17:30:00,28.73,541.0,13396.0,90.0,7.0,4744.0,106.0,-13.0,-9580.0,0.0,0.0,1050.0,1050.0,13570.0,12879.0,723.0,1852.0,11791.0,11706.0,208.0,208.0,8197325
CENTRE VAL DE LOIRE,2020-03-08 06:30:00,2020,68,06:30:00,68.27,103.0,9660.0,765.0,0.0,54.0,58.0,0.0,-8519.0,0.0,0.0,229.0,229.0,11630.0,10761.0,1238.0,360.0,92.0,92.0,86.0,86.0,2574863
OCCITANIE,2017-01-10 06:00:00,2017,10,06:00:00,10.25,67.0,2561.0,575.0,0.0,811.0,96.0,-666.0,2217.0,0.0,0.0,278.0,278.0,2620.0,2620.0,1194.0,1683.0,5464.0,5287.0,140.0,140.0,5845102
HAUTS DE FRANCE,2015-04-09 00:00:00,2015,99,00:00:00,99.0,905.0,4359.0,274.0,0.0,3.0,92.0,0.0,617.0,0.0,0.0,2301.0,2040.0,5460.0,4550.0,2713.0,213.0,5.0,5.0,159.0,159.0,6009976
GRAND EST,2022-08-15 12:30:00,2022,227,12:30:00,227.52,472.0,3613.0,1089.0,524.0,415.0,152.0,-339.0,-2155.0,0.0,0.0,3590.0,3151.0,10820.0,9819.0,4290.0,1080.0,2308.0,1954.0,235.0,235.0,5563889
GRAND EST,2019-09-05 11:30:00,2019,248,11:30:00,248.48,1664.0,6813.0,289.0,281.0,969.0,108.0,0.0,-4835.0,0.0,0.0,3531.0,3531.0,10820.0,9733.0,3445.0,601.0,2303.0,2032.0,172.0,172.0,5556219
NORMANDIE,2019-05-10 07:00:00,2019,130,07:00:00,130.29,304.0,7734.0,65.0,2.0,13.0,34.0,0.0,-4857.0,0.0,0.0,833.0,253.0,10640.0,9310.0,801.0,255.0,31.0,31.0,106.0,106.0,3325032
CENTRE VAL DE LOIRE,2018-11-01 05:30:00,2018,305,05:30:00,305.23,88.0,6779.0,519.0,0.0,0.0,66.0,0.0,-5422.0,0.0,0.0,222.0,222.0,11630.0,10651.0,1060.0,302.0,91.0,91.0,84.0,84.0,2572853
OCCITANIE,2013-03-03 11:30:00,2013,62,11:30:00,62.48,81.0,2614.0,47.0,446.0,1633.0,70.0,-840.0,1049.0,0.0,0.0,245.0,245.0,2620.0,2620.0,861.0,1047.0,5374.0,5374.0,126.0,126.0,5683878
AUVERGNE RHONE ALPES,2020-06-07 19:00:00,2020,159,19:00:00,159.79,140.0,6930.0,83.0,235.0,5394.0,119.0,-17.0,-7442.0,0.0,0.0,1034.0,1034.0,13570.0,12587.0,647.0,1266.0,11746.0,11531.0,192.0,192.0,8078652
CENTRE VAL DE LOIRE,2017-09-04 11:30:00,2017,247,11:30:00,247.48,0.0,6372.0,45.0,100.0,12.0,61.0,0.0,-4638.0,0.0,0.0,198.0,198.0,11630.0,10685.0,963.0,274.0,91.0,91.0,76.0,76.0,2576252
BOURGOGNE FRANCHE COMTE,2019-06-22 20:30:00,2019,173,20:30:00,173.85,24.0,0.0,18.0,13.0,37.0,29.0,0.0,1678.0,0.0,0.0,401.0,401.0,0.0,0.0,831.0,336.0,520.0,520.0,67.0,67.0,2805580
PROVENCE ALPES COTE D AZUR,2016-01-01 06:00:00,2016,1,06:00:00,1.25,145.0,0.0,1.0,0.0,197.0,98.0,0.0,3955.0,0.0,0.0,2612.0,2082.0,0.0,0.0,48.0,983.0,3178.0,3056.0,183.0,183.0,5021928
NOUVELLE AQUITAINE,2019-02-11 21:30:00,2019,42,21:30:00,42.9,231.0,6654.0,62.0,-1.0,602.0,200.0,0.0,-1493.0,0.0,0.0,538.0,538.0,6630.0,6630.0,975.0,2444.0,1781.0,1676.0,318.0,318.0,6010289
AUVERGNE RHONE ALPES,2014-04-11 07:00:00,2014,101,07:00:00,101.29,31.0,9437.0,16.0,0.0,3628.0,62.0,-5.0,-5666.0,0.0,0.0,938.0,938.0,13570.0,13570.0,347.0,802.0,11136.0,10984.0,140.0,140.0,7820966
GRAND EST,2013-04-06 20:00:00,2013,96,20:00:00,96.83,2903.0,9431.0,311.0,0.0,1025.0,35.0,0.0,-7902.0,0.0,0.0,3398.0,3398.0,10820.0,10820.0,1835.0,501.0,2280.0,2280.0,86.0,86.0,5552388
ILE DE FRANCE,2022-07-08 17:30:00,2022,189,17:30:00,189.73,0.0,0.0,24.0,88.0,7.0,187.0,0.0,6677.0,0.0,0.0,2171.0,2030.0,0.0,0.0,148.0,226.0,20.0,20.0,314.0,314.0,12354286
ILE DE FRANCE,2022-05-15 19:00:00,2022,135,19:00:00,135.79,0.0,0.0,32.0,34.0,3.0,145.0,0.0,6194.0,0.0,0.0,2171.0,2021.0,0.0,0.0,148.0,218.0,20.0,20.0,314.0,314.0,12354286
NOUVELLE AQUITAINE,2018-01-05 00:00:00,2018,5,00:00:00,5.0,189.0,6641.0,287.0,-1.0,1088.0,187.0,0.0,-2930.0,0.0,0.0,478.0,478.0,6630.0,6630.0,882.0,2220.0,1781.0,1781.0,307.0,307.0,5979778
NOUVELLE AQUITAINE,2019-05-17 03:00:00,2019,137,03:00:00,137.12,30.0,5580.0,219.0,-1.0,447.0,191.0,0.0,-2926.0,0.0,0.0,538.0,538.0,6630.0,5720.0,1008.0,2485.0,1782.0,1673.0,319.0,319.0,6010289
GRAND EST,2013-04-14 19:00:00,2013,104,19:00:00,104.79,98.0,7095.0,543.0,58.0,1122.0,36.0,0.0,-4886.0,0.0,0.0,3398.0,3398.0,10820.0,10820.0,1847.0,501.0,2280.0,2280.0,86.0,86.0,5552388
CENTRE VAL DE LOIRE,2014-04-24 01:00:00,2014,114,01:00:00,114.04,0.0,8639.0,31.0,0.0,1.0,44.0,0.0,-6725.0,0.0,0.0,162.0,162.0,11630.0,11630.0,749.0,215.0,91.0,91.0,56.0,56.0,2577435
NOUVELLE AQUITAINE,2020-07-16 05:30:00,2020,198,05:30:00,198.23,47.0,3278.0,36.0,0.0,70.0,185.0,0.0,-49.0,0.0,0.0,571.0,571.0,6630.0,5549.0,1166.0,2694.0,1783.0,1678.0,341.0,341.0,6033952
HAUTS DE FRANCE,2017-10-14 19:30:00,2017,287,19:30:00,287.81,1845.0,3601.0,32.0,0.0,1.0,82.0,0.0,-242.0,0.0,0.0,2910.0,2335.0,5460.0,4550.0,3609.0,216.0,5.0,5.0,165.0,165.0,6003815
HAUTS DE FRANCE,2019-08-18 23:00:00,2019,230,23:00:00,230.96,822.0,3185.0,688.0,0.0,0.0,123.0,0.0,-661.0,0.0,0.0,2969.0,2557.0,5460.0,4623.0,4531.0,238.0,5.0,5.0,178.0,178.0,6004947
PROVENCE ALPES COTE D AZUR,2018-07-08 06:00:00,2018,189,06:00:00,189.25,31.0,0.0,5.0,0.0,818.0,100.0,0.0,2184.0,0.0,0.0,2666.0,2267.0,0.0,0.0,48.0,1279.0,3233.0,3086.0,357.0,207.0,5052832
OCCITANIE,2018-02-21 16:00:00,2018,52,16:00:00,52.67,74.0,2605.0,631.0,589.0,1791.0,92.0,-632.0,451.0,0.0,0.0,291.0,291.0,2620.0,2620.0,1365.0,1830.0,5482.0,5255.0,145.0,145.0,5885496
NOUVELLE AQUITAINE,2021-11-21 00:00:00,2021,325,00:00:00,325.0,184.0,2726.0,9.0,0.0,401.0,170.0,0.0,2205.0,0.0,0.0,578.0,578.0,6630.0,5135.0,1368.0,3370.0,1784.0,1784.0,355.0,355.0,6069352
PAYS DE LA LOIRE,2017-07-10 16:30:00,2017,191,16:30:00,191.69,1029.0,0.0,140.0,248.0,0.0,46.0,0.0,1472.0,0.0,0.0,1921.0,1343.0,0.0,0.0,727.0,501.0,8.0,8.0,66.0,66.0,3757600
PROVENCE ALPES COTE D AZUR,2015-10-08 02:00:00,2015,281,02:00:00,281.08,924.0,0.0,35.0,0.0,1155.0,49.0,0.0,1548.0,0.0,0.0,2610.0,2175.0,0.0,0.0,48.0,962.0,3171.0,3171.0,183.0,183.0,5007977
HAUTS DE FRANCE,2015-12-03 01:30:00,2015,337,01:30:00,337.06,461.0,4770.0,805.0,0.0,2.0,112.0,0.0,93.0,0.0,0.0,2301.0,2140.0,5460.0,5320.0,2865.0,213.0,5.0,5.0,160.0,160.0,6009976
BOURGOGNE FRANCHE COMTE,2021-02-02 12:30:00,2021,33,12:30:00,33.52,153.0,0.0,708.0,46.0,161.0,40.0,0.0,2089.0,0.0,0.0,401.0,401.0,0.0,0.0,928.0,403.0,523.0,523.0,71.0,71.0,2800194
BOURGOGNE FRANCHE COMTE,2014-04-19 11:00:00,2014,109,11:00:00,109.46,27.0,0.0,91.0,89.0,35.0,11.0,0.0,2161.0,0.0,0.0,313.0,68.0,0.0,0.0,242.0,245.0,508.0,508.0,25.0,25.0,2820623
ILE DE FRANCE,2019-07-07 03:00:00,2019,188,03:00:00,188.12,-2.0,0.0,8.0,0.0,5.0,156.0,0.0,4679.0,0.0,0.0,2170.0,2078.0,0.0,0.0,108.0,127.0,20.0,20.0,314.0,314.0,12262544
GRAND EST,2018-07-27 18:00:00,2018,208,18:00:00,208.75,1983.0,7382.0,96.0,272.0,706.0,99.0,0.0,-5461.0,0.0,0.0,3471.0,3049.0,10820.0,9556.0,3143.0,557.0,2300.0,1955.0,158.0,158.0,5550389
AUVERGNE RHONE ALPES,2021-11-24 13:30:00,2021,328,13:30:00,328.56,258.0,11817.0,73.0,465.0,3434.0,115.0,-5.0,-6652.0,0.0,0.0,1048.0,1048.0,13570.0,12669.0,723.0,1579.0,11776.0,11650.0,208.0,208.0,8114361
BRETAGNE,2022-10-23 12:30:00,2022,296,12:30:00,296.52,448.0,0.0,328.0,117.0,230.0,49.0,-1.0,693.0,0.0,0.0,1432.0,1347.0,0.0,0.0,1220.0,404.0,272.0,272.0,83.0,83.0,3414637
ILE DE FRANCE,2022-10-06 17:00:00,2022,279,17:00:00,279.71,0.0,0.0,0.0,72.0,8.0,140.0,0.0,6712.0,0.0,0.0,2171.0,1999.0,0.0,0.0,148.0,245.0,20.0,20.0,320.0,320.0,12354286
PAYS DE LA LOIRE,2022-02-19 01:30:00,2022,50,01:30:00,50.06,170.0,0.0,377.0,1.0,6.0,59.0,0.0,2976.0,0.0,0.0,2068.0,2068.0,0.0,0.0,1137.0,816.0,10.0,10.0,80.0,80.0,3878839
NOUVELLE AQUITAINE,2019-08-20 02:30:00,2019,232,02:30:00,232.1,18.0,4735.0,205.0,0.0,28.0,205.0,0.0,-1470.0,0.0,0.0,538.0,538.0,6630.0,5613.0,1017.0,2541.0,1782.0,1673.0,319.0,319.0,6010289
PROVENCE ALPES COTE D AZUR,2020-08-09 13:00:00,2020,222,13:00:00,222.54,1090.0,0.0,1.0,973.0,873.0,82.0,0.0,1596.0,0.0,0.0,2710.0,2284.0,0.0,0.0,48.0,1497.0,3261.0,3151.0,357.0,207.0,5098666
NOUVELLE AQUITAINE,2021-12-11 04:00:00,2021,345,04:00:00,345.17,187.0,2666.0,405.0,0.0,433.0,194.0,0.0,1600.0,0.0,0.0,578.0,578.0,6630.0,5135.0,1368.0,3393.0,1784.0,1784.0,356.0,356.0,6069352
OCCITANIE,2015-01-24 18:00:00,2015,24,18:00:00,24.75,61.0,2608.0,491.0,1.0,1446.0,93.0,0.0,1770.0,0.0,0.0,266.0,266.0,2620.0,2620.0,943.0,1360.0,5435.0,5208.0,133.0,133.0,5774185
AUVERGNE RHONE ALPES,2013-07-10 14:00:00,2013,191,14:00:00,191.58,39.0,8038.0,12.0,250.0,3943.0,62.0,-17.0,-4317.0,0.0,0.0,919.0,919.0,13570.0,13570.0,335.0,724.0,11116.0,11116.0,106.0,106.0,7757595
HAUTS DE FRANCE,2015-12-28 08:30:00,2015,362,08:30:00,362.35,705.0,5383.0,1231.0,0.0,2.0,133.0,0.0,-1438.0,0.0,0.0,2301.0,2051.0,5460.0,5460.0,2878.0,213.0,5.0,5.0,160.0,160.0,6009976
HAUTS DE FRANCE,2014-02-26 01:30:00,2014,57,01:30:00,57.06,672.0,4400.0,424.0,0.0,2.0,86.0,0.0,970.0,0.0,0.0,2278.0,2278.0,5460.0,5460.0,2263.0,211.0,5.0,5.0,139.0,139.0,6006156
NOUVELLE AQUITAINE,2015-06-02 00:00:00,2015,153,00:00:00,153.0,15.0,3146.0,89.0,0.0,282.0,162.0,0.0,550.0,0.0,0.0,427.0,427.0,6630.0,5525.0,488.0,1504.0,1775.0,1670.0,239.0,239.0,5911482
AUVERGNE RHONE ALPES,2019-03-09 14:30:00,2019,68,14:30:00,68.6,180.0,9003.0,209.0,193.0,2502.0,141.0,-1146.0,-3327.0,0.0,0.0,1027.0,1027.0,13570.0,12743.0,607.0,1131.0,11235.0,11054.0,189.0,189.0,8042936
BRETAGNE,2015-03-24 10:30:00,2015,83,10:30:00,83.44,103.0,0.0,126.0,45.0,9.0,32.0,-1.0,3178.0,0.0,0.0,721.0,721.0,0.0,0.0,801.0,219.0,272.0,272.0,54.0,54.0,3293850
PROVENCE ALPES COTE D AZUR,2022-02-20 03:00:00,2022,51,03:00:00,51.12,153.0,0.0,38.0,0.0,680.0,95.0,0.0,4002.0,0.0,0.0,2724.0,2460.0,0.0,0.0,96.0,1764.0,3266.0,3222.0,357.0,357.0,5150362
HAUTS DE FRANCE,2017-05-09 08:30:00,2017,129,08:30:00,129.35,1025.0,3625.0,315.0,29.0,1.0,122.0,0.0,1307.0,0.0,0.0,2900.0,2325.0,5460.0,4550.0,3405.0,214.0,5.0,5.0,165.0,165.0,6003815
NOUVELLE AQUITAINE,2020-12-19 19:00:00,2020,354,19:00:00,354.79,155.0,5270.0,352.0,0.0,919.0,174.0,0.0,-939.0,0.0,0.0,576.0,576.0,6630.0,5722.0,1196.0,2823.0,1783.0,1678.0,347.0,347.0,6033952
ILE DE FRANCE,2016-04-13 11:30:00,2016,104,11:30:00,104.48,347.0,0.0,1.0,32.0,7.0,97.0,0.0,8757.0,0.0,0.0,2149.0,1967.0,0.0,0.0,61.0,114.0,19.0,19.0,300.0,300.0,12117132
CENTRE VAL DE LOIRE,2021-08-05 20:00:00,2021,217,20:00:00,217.83,11.0,7508.0,579.0,22.0,11.0,58.0,0.0,-6506.0,0.0,0.0,229.0,229.0,11630.0,10740.0,1360.0,580.0,92.0,92.0,89.0,89.0,2573303
CENTRE VAL DE LOIRE,2014-04-09 12:00:00,2014,99,12:00:00,99.5,0.0,9013.0,-1.0,111.0,13.0,35.0,0.0,-6715.0,0.0,0.0,162.0,162.0,11630.0,11630.0,749.0,215.0,91.0,91.0,56.0,56.0,2577435
BOURGOGNE FRANCHE COMTE,2019-04-24 22:00:00,2019,114,22:00:00,114.92,58.0,0.0,441.0,0.0,49.0,48.0,-1.0,1693.0,0.0,0.0,401.0,401.0,0.0,0.0,821.0,334.0,520.0,520.0,67.0,67.0,2805580
AUVERGNE RHONE ALPES,2013-04-10 06:30:00,2013,100,06:30:00,100.27,48.0,10232.0,58.0,0.0,2769.0,45.0,-4.0,-4636.0,0.0,0.0,919.0,919.0,13570.0,13570.0,335.0,712.0,11115.0,11115.0,106.0,106.0,7757595
ILE DE FRANCE,2018-10-04 06:30:00,2018,277,06:30:00,277.27,-2.0,0.0,5.0,0.0,6.0,126.0,0.0,6316.0,0.0,0.0,2157.0,2095.0,0.0,0.0,88.0,123.0,20.0,20.0,306.0,306.0,12213447
PROVENCE ALPES COTE D AZUR,2015-05-14 01:30:00,2015,134,01:30:00,134.06,166.0,0.0,0.0,0.0,1356.0,63.0,0.0,2243.0,0.0,0.0,2610.0,2241.0,0.0,0.0,45.0,913.0,3168.0,3168.0,183.0,183.0,5007977
BOURGOGNE FRANCHE COMTE,2018-02-27 15:00:00,2018,58,15:00:00,58.62,156.0,0.0,180.0,108.0,175.0,28.0,0.0,3268.0,0.0,0.0,386.0,386.0,0.0,0.0,676.0,305.0,520.0,443.0,36.0,36.0,2807807
BRETAGNE,2022-12-16 21:30:00,2022,350,21:30:00,350.9,744.0,0.0,143.0,0.0,5.0,56.0,-1.0,2774.0,0.0,0.0,1432.0,1347.0,0.0,0.0,1249.0,412.0,272.0,272.0,83.0,83.0,3414637
BOURGOGNE FRANCHE COMTE,2019-05-25 19:00:00,2019,145,19:00:00,145.79,24.0,0.0,272.0,40.0,36.0,27.0,0.0,1527.0,0.0,0.0,401.0,401.0,0.0,0.0,831.0,335.0,520.0,520.0,67.0,67.0,2805580
BRETAGNE,2018-11-03 11:00:00,2018,307,11:00:00,307.46,161.0,0.0,232.0,89.0,83.0,40.0,-1.0,2339.0,0.0,0.0,944.0,859.0,0.0,0.0,988.0,255.0,270.0,270.0,70.0,70.0,3335414
